City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,svetlogorsk,52.6333,29.7333,-7.95,80,100,4.3,BY,1670195939
131,poum,-20.2333,164.0167,26.69,82,98,9.16,NC,1670195939
132,sobolevo,54.4299,31.8996,-9.82,87,100,4.21,RU,1670195939
133,omsukchan,62.5333,155.8,-22.36,99,100,1.26,RU,1670195940
134,cardiff,51.48,-3.18,5.49,79,75,6.69,GB,1670195704
135,kirensk,57.7853,108.1119,-15.43,89,100,8.01,RU,1670195940
136,pergamino,-33.89,-60.5736,29.94,19,4,2.3,AR,1670195941
137,murdochville,48.9583,-65.5006,-7.51,88,64,3.53,CA,1670195941
138,torbay,47.6666,-52.7314,2.54,87,75,10.29,CA,1670195942
139,lavrentiya,65.5833,-171.0,0.29,98,100,14.13,RU,1670195942
140,jalu,29.0331,21.5482,15.75,51,5,4.34,LY,1670195922
141,maragogi,-9.0122,-35.2225,24.52,84,48,5.32,BR,1670195943
142,srednekolymsk,67.45,153.6833,-43.89,100,63,1.24,RU,1670195943
143,clyde river,70.4692,-68.5914,-14.87,85,100,10.8,CA,1670195930
144,vanavara,60.34,102.2797,-14.12,91,100,5.54,RU,1670195944
145,sungaipenuh,-2.0833,101.3833,17.57,92,100,0.49,ID,1670195945
146,chibombo,-14.6569,28.0706,21.22,42,81,1.96,ZM,1670195945
147,iqaluit,63.7506,-68.5145,-2.15,100,100,3.6,CA,1670195945
148,buritis,-15.6178,-46.4233,21.23,91,64,1.62,BR,1670195946
149,grants pass,42.439,-123.3284,10.75,77,20,3.09,US,1670195946
150,airai,-8.9266,125.4092,19.62,53,99,0.69,TL,1670195947
151,chokurdakh,70.6333,147.9167,-39.96,100,45,1.7,RU,1670195947
152,larkana,27.5551,68.2141,17.86,26,0,1.22,PK,1670195936
153,athabasca,54.7169,-113.2854,-7.77,67,67,7.2,CA,1670195948
154,belaya gora,68.5333,146.4167,-36.54,100,100,1.31,RU,1670195948
155,bathsheba,13.2167,-59.5167,24.47,93,20,1.54,BB,1670195915
156,vestmannaeyjar,63.4427,-20.2734,3.61,73,20,7.62,IS,1670195949
157,pangkalanbuun,-2.6833,111.6167,23.75,96,90,0.74,ID,1670195950
158,saint anthony,45.0205,-93.218,0.96,59,0,5.14,US,1670195950
159,krasnyy yar,46.5331,48.3456,-13.04,48,3,3.82,RU,1670195950
160,kudahuvadhoo,2.6708,72.8944,25.82,83,98,3.04,MV,1670195951
161,broome,42.2506,-75.833,0.92,72,0,2.57,US,1670195951
162,bilibino,68.0546,166.4372,-26.43,100,100,0.83,RU,1670195952
163,port alfred,-33.5906,26.891,17.88,89,100,0.45,ZA,1670195902
164,esna,25.2934,32.554,17.53,45,99,5.01,EG,1670195953
165,kavieng,-2.5744,150.7967,26.88,78,100,4.23,PG,1670195953
166,gat,31.61,34.7642,16.33,66,0,1.9,IL,1670195954
167,andenes,69.3143,16.1194,1.07,93,75,7.2,NO,1670195954
168,ipswich,52.0592,1.1555,6.12,83,100,0.45,GB,1670195691
169,shakawe,-18.3667,21.85,25.54,28,28,2.02,BW,1670195955
170,namatanai,-3.6667,152.4333,27.77,76,100,2.45,PG,1670195956
171,kaeo,-35.1,173.7833,20.52,54,0,3.21,NZ,1670195956
172,olafsvik,64.8945,-23.7142,6.09,75,95,2.26,IS,1670195957
173,souillac,-20.5167,57.5167,25.21,78,40,3.09,MU,1670195957
174,new norfolk,-42.7826,147.0587,12.18,70,100,2.24,AU,1670195958
175,tondano,1.3038,124.9112,23.05,87,98,0.74,ID,1670195958
176,port hedland,-20.3167,118.5667,32.03,35,17,5.14,AU,1670195959
177,galesong,-5.3166,119.3661,26.01,79,98,2.16,ID,1670195959
178,chillicothe,39.3331,-82.9824,0.69,51,0,0.0,US,1670195852
179,vostok,46.4856,135.8833,-24.29,98,100,2.65,RU,1670195960
180,castries,13.9957,-61.0061,24.07,87,20,1.03,LC,1670195960
181,alamosa,37.4695,-105.87,6.99,65,0,1.54,US,1670195961
182,caala,-12.8525,15.5606,16.29,89,100,1.2,AO,1670195961
183,spencer,43.1414,-95.1444,2.02,60,0,4.12,US,1670195962
184,alyangula,-13.8483,136.4192,29.17,68,74,4.61,AU,1670195962
185,madang,-5.2246,145.7966,27.93,73,99,1.83,PG,1670195963
186,faya,18.3851,42.4509,11.06,81,1,1.41,SA,1670195963
187,avarua,-21.2078,-159.775,28.03,83,40,3.6,CK,1670195826
188,deputatskiy,69.3,139.9,-26.55,98,100,1.48,RU,1670195964
189,jamestown,42.097,-79.2353,0.01,59,0,4.12,US,1670195964
190,forestville,38.8451,-76.875,4.79,61,0,0.0,US,1670195964
191,santa catalina,9.3337,122.8637,26.37,85,91,3.96,PH,1670195965
192,redlands,34.0556,-117.1825,19.05,65,100,2.06,US,1670195965
193,kruisfontein,-34.0033,24.7314,14.94,80,75,3.11,ZA,1670195966
194,bougouni,11.417,-7.479,25.06,62,86,1.95,ML,1670195966
195,adre,13.4667,22.2,20.56,18,32,6.44,TD,1670195967
196,shingu,33.7333,135.9833,9.57,63,81,2.14,JP,1670195967
197,high rock,26.6208,-78.2833,23.01,64,30,5.12,BS,1670195967
198,sabang,5.8933,95.3214,27.17,76,100,5.82,ID,1670195968
199,jagdalpur,19.0667,82.0333,14.61,77,23,1.19,IN,1670195968
200,goderich,43.7501,-81.7165,3.28,56,28,8.23,CA,1670195969
201,merauke,-8.4667,140.3333,28.47,67,48,3.01,ID,1670195969
202,casa grande,32.8795,-111.7573,17.95,94,100,0.0,US,1670195970
203,afua,-0.1567,-50.3867,24.83,87,100,2.24,BR,1670195970
204,karpathos,35.507,27.2132,14.98,77,1,7.72,GR,1670195970
205,sioux lookout,50.1001,-91.917,-9.96,85,100,3.6,CA,1670195904
206,saskylakh,71.9167,114.0833,-23.03,96,100,7.01,RU,1670195903
207,tanete,-3.9443,119.7848,24.54,92,100,0.82,ID,1670195971
208,katangli,51.7102,143.2326,-24.03,93,17,5.48,RU,1670195971
209,inirida,3.8653,-67.9239,23.88,92,71,0.2,CO,1670195972
210,karasjok,69.4719,25.5112,-12.81,97,83,3.19,NO,1670195972
211,zawadzkie,50.605,18.4847,1.12,87,100,2.58,PL,1670195973
212,san rafael,-34.6177,-68.3301,30.2,22,1,2.88,AR,1670195973
213,matara,5.9485,80.5353,23.92,88,98,1.14,LK,1670195973
214,touros,-5.1989,-35.4608,25.94,75,64,6.32,BR,1670195957
215,clarence town,-32.5833,151.7833,24.97,42,3,1.94,AU,1670195974
216,geraldton,-28.7667,114.6,19.23,77,5,4.63,AU,1670195408
217,saint-philippe,-21.3585,55.7679,22.77,83,74,3.55,RE,1670195882
218,umm lajj,25.0213,37.2685,23.92,67,100,2.78,SA,1670195975
219,sao filipe,14.8961,-24.4956,22.24,64,92,1.63,CV,1670195975
220,winnemucca,40.973,-117.7357,4.03,81,75,2.57,US,1670195976
221,bar harbor,44.3876,-68.2039,0.06,53,0,2.24,US,1670195976
222,nerang,-27.9833,153.3333,27.43,76,16,1.34,AU,1670195976
223,port hardy,50.6996,-127.4199,2.83,71,3,0.18,CA,1670195733
224,wilmington,34.2257,-77.9447,12.14,68,0,4.12,US,1670195924
225,lagoa,39.05,-27.9833,15.23,70,100,4.42,PT,1670195977
